,favorite,predicted,winner,odds_1,odds_x,odds_2,prob_1,prob_x,prob_2
143,Home,Home,Home,1.16,13.39,6.57,0.8774571418762207,0.028650633990764618,0.0938921868801117
144,Home,Home,Home,1.96,9.03,2.06,0.47319895029067993,0.10456907004117966,0.4222319722175598
145,Home,Home,Home,1.25,12.12,4.94,0.8042684197425842,0.04746226966381073,0.14826931059360504
146,Home,Home,Home,1.93,8.7,2.14,0.4801664650440216,0.11405953764915466,0.4057740569114685
147,Away,Away,Away,8.48,15.6,1.11,0.09927681088447571,0.03695623576641083,0.8637670278549194
148,Home,Home,Home,1.22,11.88,5.11,0.8111794590950012,0.049181580543518066,0.1396389752626419
149,Home,Home,Home,1.41,9.13,3.81,0.6811834573745728,0.10441844165325165,0.2143981158733368
150,Away,Away,Away,2.48,8.78,1.74,0.389320433139801,0.11861437559127808,0.4920652210712433
151,Away,Home,Home,2.17,7.93,2.0,0.43317168951034546,0.14259034395217896,0.424237996339798
152,Away,Away,Away,3.35,11.26,1.39,0.29474878311157227,0.06901784986257553,0.636233389377594
153,Home,Home,Away,1.33,11.69,3.71,0.711140513420105,0.05257657915353775,0.2362828552722931
154,Home,Home,Home,1.13,14.59,6.82,0.8963959813117981,0.02061075158417225,0.08299323171377182
155,Home,Home,Home,2.0,7.95,2.15,0.46397528052330017,0.1395229697227478,0.3965018391609192
156,Home,Home,Home,1.08,16.74,10.17,0.9511395692825317,0.007682461757212877,0.041177988052368164
157,Away,Away,Away,5.1,12.78,1.21,0.19546319544315338,0.05565205216407776,0.7488846778869629
158,Home,Home,Home,1.24,11.54,5.12,0.8053392767906189,0.05373762547969818,0.14092308282852173
159,Home,Home,Home,1.43,11.58,3.18,0.655555009841919,0.05368044227361679,0.29076457023620605
160,Away,Away,Home,2.77,9.22,1.59,0.3523963391780853,0.10950550436973572,0.5380982160568237
161,Home,Home,Home,1.35,10.2,3.97,0.7142597436904907,0.07894964516162872,0.20679053664207458
162,Home,Home,Home,1.13,14.07,7.47,0.9012025594711304,0.021258149296045303,0.07753933221101761
163,Home,Home,Home,1.25,11.58,4.84,0.7936669588088989,0.054630666971206665,0.1517023891210556
164,Home,Home,Away,2.04,7.91,2.12,0.45665788650512695,0.14159440994262695,0.4017477333545685
165,Home,Home,Away,1.17,12.54,6.27,0.8586174249649048,0.03633687645196915,0.10504573583602905
166,Home,Home,Home,1.27,11.65,4.44,0.7683975696563721,0.053605999797582626,0.17799639701843262
167,Home,Home,Away,1.4,11.15,3.31,0.6667454838752747,0.06015807390213013,0.2730964720249176
168,Home,Home,Away,1.1,14.22,7.74,0.9073372483253479,0.019427962601184845,0.07323478162288666
169,Home,Home,Away,1.72,8.77,2.5,0.5360228419303894,0.11148824542760849,0.35248899459838867
170,Home,Home,Away,1.31,10.59,4.27,0.7435709834098816,0.07145930081605911,0.1849696785211563
171,Away,Away,Away,3.01,10.05,1.49,0.32731983065605164,0.09094995260238647,0.5817301273345947
172,Home,Home,Home,1.59,8.71,2.94,0.5875714421272278,0.11452126502990723,0.29790735244750977
173,Away,Away,Away,3.34,11.59,1.4,0.2970460057258606,0.06333263218402863,0.639621376991272
174,Home,Home,Home,1.89,8.94,2.15,0.4879196286201477,0.10654815286397934,0.40553218126296997
175,Home,Home,Away,1.51,10.5,2.88,0.611617922782898,0.07077852636575699,0.31760352849960327
176,Away,Away,Away,7.33,13.07,1.15,0.13760676980018616,0.06557495892047882,0.7968182563781738
177,Home,Home,Away,1.83,8.87,2.26,0.5036728978157043,0.1084824874997139,0.38784462213516235
178,Home,Home,Home,1.48,9.99,2.9,0.6113374829292297,0.08011217415332794,0.3085503876209259
179,Away,Away,Away,6.12,13.46,1.14,0.15631671249866486,0.051215820014476776,0.7924673557281494
180,Away,Away,Home,2.33,9.38,1.77,0.4118846654891968,0.09936810284852982,0.4887472093105316
181,Home,Home,Home,1.92,8.28,2.22,0.4832006096839905,0.12760235369205475,0.38919705152511597
182,Home,Home,Draw,1.18,13.09,5.32,0.8356665372848511,0.03547297790646553,0.1288604736328125
183,Home,Home,Home,1.2,12.76,5.08,0.81960529088974,0.03927544876933098,0.14111922681331635
184,Away,Away,Away,8.23,14.52,1.12,0.1107763946056366,0.04857340455055237,0.840650200843811
185,Home,Home,Home,1.18,12.22,6.03,0.8479744791984558,0.040521252900362015,0.1115042045712471
186,Away,Away,Draw,2.39,9.24,1.74,0.40206319093704224,0.10372061282396317,0.4942161738872528
187,Away,Away,Away,3.16,9.59,1.5,0.3191719651222229,0.10452084988355637,0.5763071179389954
188,Home,Home,Away,1.63,8.97,2.71,0.5670154094696045,0.106066033244133,0.3269185423851013
189,Home,Home,Home,1.1,14.7,9.04,0.9271592497825623,0.014630571007728577,0.058210186660289764
190,Home,Home,Home,1.24,12.32,4.59,0.7852227687835693,0.044527940452098846,0.17024926841259003
191,Away,Away,Away,2.98,10.68,1.47,0.33100196719169617,0.0764869749546051,0.5925110578536987
192,Away,Away,Away,3.01,10.19,1.49,0.3280473053455353,0.08773939311504364,0.5842133164405823
193,Home,Home,Draw,1.31,10.71,4.19,0.739585280418396,0.06908746063709259,0.19132724404335022
194,Home,Home,Away,1.53,8.68,3.13,0.6090686917304993,0.11535201966762543,0.2755792438983917
195,Home,Home,Home,1.71,8.93,2.45,0.5344386100769043,0.1061980128288269,0.3593634068965912
196,Home,Home,Home,1.5,9.69,3.16,0.6292755603790283,0.08913642913103104,0.281588077545166
197,Home,Home,Home,1.31,10.59,3.8,0.709568440914154,0.06984208524227142,0.22058947384357452
198,Home,Home,Home,1.09,16.55,9.53,0.9452052712440491,0.008733744733035564,0.046060968190431595
199,Home,Home,Home,1.36,10.86,3.66,0.6972179412841797,0.06568703800439835,0.23709505796432495
200,Home,Home,Away,1.71,8.93,2.46,0.5353801250457764,0.10633169114589691,0.3582882285118103
201,Away,Away,Home,2.4,9.36,1.71,0.3991953432559967,0.10027318447828293,0.5005314350128174
202,Away,Away,Draw,7.12,13.76,1.15,0.1356361359357834,0.053228214383125305,0.8111355900764465
203,Home,Home,Home,1.58,10.14,2.64,0.5786393880844116,0.07718442380428314,0.3441762328147888
204,Home,Home,Home,1.56,9.92,2.73,0.5870528221130371,0.08201989531517029,0.3309272527694702
205,Home,Home,Away,1.63,9.41,2.61,0.5632879734039307,0.09393138438463211,0.34278061985969543
206,Away,Away,Home,4.09,10.3,1.28,0.25362274050712585,0.09438227862119675,0.6519950032234192
207,Home,Home,Draw,2.01,8.45,2.01,0.4568096697330475,0.12126452475786209,0.42192578315734863
208,Away,Away,Away,11.53,16.53,1.06,0.06582850962877274,0.036891549825668335,0.8972800374031067
209,Home,Home,Home,1.87,8.58,2.2,0.4903659522533417,0.11675693839788437,0.3928770422935486
210,Home,Home,Draw,1.17,13.01,5.83,0.8529569506645203,0.03422767296433449,0.11281543970108032
211,Home,Home,Home,1.21,12.02,5.61,0.8315558433532715,0.04516647383570671,0.12327765673398972
212,Home,Home,Away,1.42,10.04,3.37,0.6589550375938416,0.08095230907201767,0.2600926458835602
213,Home,Home,Home,1.44,10.49,3.2,0.6473811268806458,0.07160327583551407,0.2810156047344208
214,Home,Home,Home,1.05,17.18,13.07,0.9658189415931702,0.0039026110898703337,0.030278421938419342
215,Home,Home,Home,1.05,19.27,12.87,0.9746082425117493,0.0027823096606880426,0.02260945737361908
216,Home,Home,Home,1.24,9.88,4.59,0.7532572150230408,0.08210798352956772,0.1646348536014557
217,Away,Away,Away,4.07,10.45,1.33,0.25771453976631165,0.09193780273199081,0.6503476500511169
218,Home,Home,Home,1.15,13.53,6.91,0.8853975534439087,0.026323216035962105,0.08827924728393555
219,Away,Home,Away,2.13,8.4,1.97,0.4405610263347626,0.12547042965888977,0.43396851420402527
220,Home,Home,Away,1.38,11.17,3.54,0.6885389685630798,0.06052294746041298,0.2509381175041199
221,Home,Home,Home,1.62,9.63,2.62,0.5676907300949097,0.08870615810155869,0.34360313415527344
222,Home,Home,Home,1.44,9.35,3.18,0.6320828199386597,0.09548278152942657,0.27243441343307495
223,Home,Home,Home,1.52,9.98,2.89,0.6065100431442261,0.08120307326316833,0.312286913394928
224,Home,Home,Home,1.58,9.85,2.68,0.5796418190002441,0.08350956439971924,0.33684858679771423
225,Home,Home,Home,1.24,11.84,5.18,0.812238872051239,0.04984322190284729,0.13791793584823608
226,Home,Home,Home,1.75,8.82,2.48,0.5318373441696167,0.11073347181081772,0.3574291169643402
227,Home,Home,Home,1.85,8.93,2.24,0.5004722476005554,0.10712297260761261,0.3924047648906708
228,Away,Away,Home,6.4,13.36,1.17,0.15327514708042145,0.05490415543317795,0.7918207049369812
229,Home,Home,Away,2.05,8.08,2.1,0.4563145935535431,0.13583502173423767,0.407850444316864
230,Home,Home,Home,1.83,9.17,2.22,0.5032376050949097,0.10007961839437485,0.3966827392578125
231,Home,Home,Home,1.09,14.98,9.58,0.9347180128097534,0.012767510488629341,0.05251452326774597
232,Away,Away,Away,2.15,8.54,1.91,0.43460726737976074,0.1205943301320076,0.4447983503341675
233,Home,Home,Home,1.58,10.36,2.65,0.5815834403038025,0.0730254054069519,0.3453911542892456
234,Home,Home,Home,1.74,8.35,2.54,0.5316056609153748,0.12486361712217331,0.34353068470954895
235,Away,Away,Away,2.73,9.99,1.5,0.3526507616043091,0.08762993663549423,0.5597193837165833
236,Home,Home,Home,1.76,9.06,2.35,0.5215407013893127,0.10284756869077682,0.37561166286468506
237,Home,Home,Home,1.52,9.58,2.97,0.6092003583908081,0.09059357643127441,0.3002060353755951
238,Home,Home,Home,1.24,11.12,4.52,0.7703227996826172,0.06096773222088814,0.16870945692062378
239,Away,Away,Away,3.08,9.11,1.52,0.3256046175956726,0.11648494750261307,0.5579103827476501
240,Away,Away,Away,13.56,15.86,1.05,0.05747276917099953,0.04194957762956619,0.9005775451660156
241,Home,Home,Home,1.53,10.1,2.85,0.6030806303024292,0.0786604955792427,0.3182588815689087
242,Home,Home,Home,1.74,9.22,2.36,0.5263336896896362,0.0984129086136818,0.37525343894958496
243,Home,Home,Home,1.05,15.8,12.09,0.9542067646980286,0.006207536906003952,0.039585746824741364
244,Away,Away,Away,3.01,8.52,1.56,0.3323120176792145,0.13371804356575012,0.5339699387550354
245,Home,Home,Draw,1.61,9.76,2.61,0.5690946578979492,0.08548256754875183,0.3454227149486542
246,Away,Away,Home,2.73,9.8,1.57,0.35819998383522034,0.0934106633067131,0.5483893752098083
247,Home,Home,Home,1.79,9.17,2.26,0.5111144185066223,0.09961000084877014,0.3892756402492523
248,Away,Away,Away,2.7,9.82,1.56,0.3600936830043793,0.09217235445976257,0.5477340221405029
249,Home,Home,Away,1.68,9.64,2.48,0.5484283566474915,0.08845143020153046,0.3631201982498169
250,Home,Home,Home,1.1,14.89,7.73,0.9138625860214233,0.01670539751648903,0.06943194568157196
251,Home,Home,Home,1.26,11.24,4.92,0.7916118502616882,0.05924154818058014,0.14914654195308685
252,Away,Away,Home,3.31,11.5,1.41,0.3001948297023773,0.06467042118310928,0.635134756565094
253,Home,Home,Draw,1.49,10.61,2.92,0.6182472705841064,0.06866458058357239,0.3130881190299988
254,Home,Home,Home,1.54,9.91,2.85,0.6001399755477905,0.08281388878822327,0.3170461058616638
255,Away,Away,Away,7.02,11.0,1.12,0.15937194228172302,0.10650960355997086,0.7341184020042419
256,Away,Away,Away,3.06,9.6,1.52,0.3262360394001007,0.10324031859636307,0.5705236792564392
257,Home,Home,Draw,1.96,8.77,2.15,0.4789706766605377,0.11310478299856186,0.4079245328903198
258,Away,Away,Away,3.79,10.49,1.36,0.27337223291397095,0.08837524056434631,0.6382525563240051
259,Away,Away,Draw,3.95,10.22,1.36,0.2663164436817169,0.0965714305639267,0.6371121406555176
260,Away,Away,Away,2.38,8.95,1.77,0.4032985270023346,0.11191578954458237,0.48478561639785767
261,Home,Home,Away,1.13,10.66,6.34,0.8271818161010742,0.05331803858280182,0.11950011551380157
262,Away,Away,Away,9.26,14.37,1.1,0.09720993041992188,0.05610717087984085,0.8466829657554626
263,Home,Home,Home,1.83,7.95,2.41,0.504503071308136,0.13858087360858917,0.35691601037979126
264,Home,Home,Home,1.1,9.99,7.25,0.8309453725814819,0.05189075320959091,0.11716380715370178
265,Home,Home,Home,1.09,15.06,9.1,0.9310013651847839,0.01322411559522152,0.055774565786123276
266,Away,Away,Away,2.13,9.01,1.9,0.44062572717666626,0.1066415086388588,0.4527326822280884
267,Away,Away,Away,2.45,9.99,1.62,0.39005136489868164,0.08480183780193329,0.5251469016075134
268,Away,Away,Away,3.83,10.36,1.37,0.272548109292984,0.09202467650175095,0.6354272365570068
269,Home,Home,Home,1.04,17.66,14.21,0.970917284488678,0.0027650680858641863,0.02631763182580471
270,Home,Home,Home,1.21,11.93,5.7,0.8333495855331421,0.04572988674044609,0.12092053890228271
271,Home,Home,Home,1.29,10.51,4.08,0.7309873700141907,0.07185165584087372,0.19716094434261322
272,Home,Home,Away,1.37,10.74,3.53,0.6844922304153442,0.06737496703863144,0.24813280999660492
273,Home,Home,Draw,1.81,9.4,2.26,0.5115641951560974,0.09449690580368042,0.39393892884254456
274,Home,Home,Home,1.02,17.36,14.14,0.9694417715072632,0.0029389644041657448,0.02761918306350708
275,Home,Home,Away,1.97,8.09,2.19,0.47269850969314575,0.1346958726644516,0.39260563254356384
276,Home,Home,Away,1.49,9.67,3.06,0.6211821436882019,0.08851226419210434,0.29030561447143555
277,Home,Home,Home,1.22,11.34,5.58,0.819429337978363,0.05328486114740372,0.12728577852249146
278,Home,Home,Home,1.3,11.27,4.11,0.7404866218566895,0.05929508060216904,0.2002183049917221
279,Home,Home,Draw,1.48,10.15,3.11,0.6321357488632202,0.07847072184085846,0.2893935441970825
280,Home,Home,Home,1.67,9.1,2.52,0.547134518623352,0.10156581550836563,0.3512997329235077
281,Home,Home,Home,1.49,10.14,3.02,0.622974157333374,0.07825152575969696,0.2987743020057678
282,Home,Home,Away,1.26,11.62,4.63,0.7808498740196228,0.054066937416791916,0.1650831550359726
283,Away,Away,Away,2.57,8.41,1.74,0.3770163357257843,0.13237205147743225,0.49061161279678345
284,Home,Home,Home,1.58,9.61,2.82,0.5901341438293457,0.09013262391090393,0.319733202457428
285,Home,Home,Home,1.09,15.92,8.76,0.9341049194335938,0.011292558163404465,0.05460244044661522
286,Away,Away,Away,2.22,8.73,1.87,0.4260672926902771,0.1161293238401413,0.4578033983707428
